Source Flag,Capacity (MW),Capacity Factor,Heat Rate Efficiency,Year complete,Construction Time,Ops Mode,Plant Mode,Fuel Mode,Interact Flag
0,-326,0.1994,0.326,2012,0,0,0,1,-2
0,-510,0.0783,0.273,2012,0,0,0,0,-2
0,-363,0.1485,0.2501,2012,0,0,0,1,-2
0,-632,0.4137,0.339,2015,0,0,0,0,-2
0,-261,0.4133,0.3376,2015,0,0,0,1,-2
0,-420,0.4198,0.3439,2015,0,0,0,0,-2
0,-354,0.1991,0.3014,2015,0,0,0,1,-2
0,-490.6,0.2511,0.2591,2014,0,0,0,0,-2
0,-50,0.5220,0.215,2011,0,0,0,1,1
0,-420,0.1424,0.2716,2011,0,0,0,1,-2
6,50,0.25,0.97,2012,1,0,0,0,-2
6,48,0.2,0.97,2012,2,0,0,0,-2
6,69,0.25,0.97,2012,2,0,0,0,-2
7,10,0.15,0.97,2012,1,0,0,0,-2
6,161,0.25,0.97,2012,2,0,0,0,-2
6,139,0.2,0.97,2012,2,0,0,0,-2
6,61,0.25,0.97,2012,2,0,0,0,-2
1,560,0.5,0.4,2011,3,0,0,0,0
7,5.5,0.15,0.97,2011,1,0,0,0,-2
4,5,0.5,0.97,2011,2,0,0,0,-2
1,98.5,0.5,0.97,2011,3,0,0,0,-2
